antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Lime Sparkling Water'}),frozenset({'Sparkling Water Grapefruit'}),0.015528618803855752,0.02510073253913266,0.004849960648724279,0.3123240199263591,12.442824903195087,1.0,0.004460180941426549,1.417672415076165,0.9341382751508058,0.1355517954502726,0.29461842569161195,0.25277195234559946
frozenset({'Blackberries'}),frozenset({'Raspberries'}),0.008926349210620136,0.020230591749012854,0.002125641560328533,0.23813112283345894,11.770843175908508,1.0,0.0019450562336393537,1.2860079176548564,0.9232858911114384,0.07863630707975613,0.22239981086307464,0.17160088976253163
frozenset({'Raspberries'}),frozenset({'Blackberries'}),0.020230591749012854,0.008926349210620136,0.002125641560328533,0.10507065669160433,11.770843175908508,1.0,0.0019450562336393537,1.1074322885933716,0.9339384462509495,0.07863630707975613,0.09701025489317193,0.17160088976253163
frozenset({'Sparkling Lemon Water'}),frozenset({'Sparkling Water Grapefruit'}),0.010729108508620284,0.02510073253913266,0.0030875616335151786,0.28777429467084636,11.464776743953555,1.0,0.0028182531504569682,1.3688066299296509,0.9226758104574867,0.09429892141756548,0.26943661863225016,0.2053905641919152
frozenset({'Sparkling Water Grapefruit'}),frozenset({'Sparkling Lemon Water'}),0.02510073253913266,0.010729108508620284,0.0030875616335151786,0.12300683371298404,11.464776743953555,1.0,0.0028182531504569682,1.1280257697784823,0.936277574549976,0.09429892141756548,0.11349542998793685,0.2053905641919152
frozenset({'Pure Sparkling Water'}),frozenset({'Sparkling Water Grapefruit'}),0.009743644937138859,0.02510073253913266,0.0020583744223434527,0.2112530203658958,8.416209369051169,1.0,0.0018138017968200562,1.2360101434722681,0.8898520657024521,0.062782109150595,0.19094515099144366,0.14662878808727592
frozenset({'Sparkling Water Grapefruit'}),frozenset({'Pure Sparkling Water'}),0.02510073253913266,0.009743644937138859,0.0020583744223434527,0.08200455580865604,8.416209369051167,1.0,0.0018138017968200562,1.0787159798327446,0.9038694484023075,0.062782109150595,0.07297192338334459,0.14662878808727592
frozenset({'Red Peppers'}),frozenset({'Green Bell Pepper'}),0.01852200644419182,0.017368375027747695,0.0022870826914927252,0.12347920828037044,7.109427800994636,1.0,0.001965385537303642,1.1210591171995428,0.8755588099228863,0.06806125512961667,0.10798638121953293,0.12758003791245479
frozenset({'Green Bell Pepper'}),frozenset({'Red Peppers'}),0.017368375027747695,0.01852200644419182,0.0022870826914927252,0.13168086754453912,7.109427800994635,1.0,0.001965385537303642,1.130319437716814,0.8745308843764232,0.06806125512961667,0.11529434367690988,0.12758003791245479
frozenset({'Green Bell Pepper'}),frozenset({'Organic Red Bell Pepper'}),0.017368375027747695,0.01898614969628887,0.0021088247758322626,0.12141750580945003,6.39505680465497,1.0,0.0017790662075741594,1.1165870669976556,0.8585406797372853,0.06157925751325869,0.10441377161132795,0.11624462535822369
frozenset({'Organic Red Bell Pepper'}),frozenset({'Green Bell Pepper'}),0.01898614969628887,0.017368375027747695,0.0021088247758322626,0.11107174490699734,6.39505680465497,1.0,0.0017790662075741594,1.1054116227517665,0.8599564858068541,0.06157925751325869,0.09535961137205985,0.11624462535822369
frozenset({'Organic Red Onion'}),frozenset({'Organic Cilantro'}),0.021364043024061457,0.023405600661908638,0.0028958502902577004,0.13554785894206547,5.791257438766029,1.0,0.002395812030712683,1.1297263931151986,0.8453868088384094,0.06915662650602408,0.1148299215684257,0.12963626601363942
frozenset({'Organic Cilantro'}),frozenset({'Organic Red Onion'}),0.023405600661908638,0.021364043024061457,0.0028958502902577004,0.1237246730852134,5.791257438766029,1.0,0.002395812030712683,1.1168133198746402,0.847154078748711,0.06915662650602408,0.10459520655408398,0.12963626601363942
frozenset({'Bunched Cilantro'}),frozenset({'Limes'}),0.01494675806028481,0.045072345806902954,0.0037938665823585203,0.2538253825382538,5.631510363930953,1.0,0.003120181134373249,1.2797643230500975,0.8349068953698388,0.0674762218101334,0.21860612771524018,0.1689991027309581
frozenset({'Limes'}),frozenset({'Bunched Cilantro'}),0.045072345806902954,0.01494675806028481,0.0037938665823585203,0.0841728229236624,5.6315103639309525,1.0,0.003120181134373249,1.0755885680138617,0.8612461272752902,0.0674762218101334,0.07027647026171017,0.1689991027309581
frozenset({'Organic Garlic'}),frozenset({'Organic Yellow Onion'}),0.03506635903162228,0.036573142922488075,0.007211037192000592,0.20563974678687896,5.622698252176607,1.0,0.00592855023136579,1.212833664801997,0.8520269280063627,0.11192315723533096,0.1754846282542326,0.20140365121208947
